cpf;dn;nome;sexo;dataNascimento;nomeMae;cns;logradouro;numero;ds_complemento;bairro;codigoMunicipio;codigoMunicipioResidencia;cep;tipoEndereco;resideExterior;codigoBeneficiario;relacaoDependencia;dataContratacao;numeroPlanoANS;coberturaParcialTemporaria;itensExcluidosCobertura;cco;tipo_movimentacao;dataCancelamento;motivoCancelamento;codigoProcedimentoAdministrativo
12345678909;;João Silva Santos;1;1980-05-15;Maria Silva Santos;123456789012345;Rua das Flores;123;Apto 101;Centro;3550308;;01234567;2;0;BEN001;1;01/01/2023;504487251;0;0;CCO001;1;;;
98765432100;;Maria Oliveira Souza;3;1992-08-22;Ana Oliveira Souza;987654321098765;Avenida Brasil;456;Casa;Jardins;3550308;;04567890;2;0;BEN002;3;15/03/2023;504487251;0;0;CCO002;1;;;
45678912345;;Pedro Costa Lima;1;1975-11-30;Lucia Costa Lima;456123789012345;Rua XV de Novembro;789;;Copacabana;3304557;;22021000;2;0;BEN003;4;01/06/2023;504487251;0;0;CCO003;1;;;
78912345678;;Ana Paula Rodrigues;3;1988-03-10;Carla Rodrigues;789123456012345;Alameda Santos;321;Sala 502;Paulista;3550308;;01311000;1;0;BEN004;1;10/09/2023;504487251;0;0;CCO004;1;;;
32165498712;;Carlos Alberto Mendes;1;1965-12-25;Beatriz Mendes;321654987012345;Rua Aurora;654;;Santa Cecília;3550308;;01209000;2;0;BEN005;1;01/12/2023;504487251;0;0;CCO005;1;;;
65498732189;;Fernanda Almeida Costa;3;1995-07-18;Patricia Almeida;654987321012345;Rua da Consolação;987;Cobertura;Consolação;3550308;;01302000;2;0;BEN006;3;15/01/2024;504487251;0;0;CCO006;1;;;
14725836985;;Roberto Nunes Pereira;1;1978-09-05;Sandra Nunes Pereira;147258369012345;Avenida Paulista;159;;Bela Vista;3550308;;01311000;1;0;BEN007;1;01/03/2024;504487251;0;0;CCO007;1;;;
25836914796;;Juliana Santos Rocha;3;1985-04-12;Marta Santos Rocha;258369147012345;Rua Augusta;753;Loja 3;Jardins;3550308;;01413000;2;0;BEN008;1;20/04/2024;504487251;0;0;CCO008;1;;;
36914725871;;Marcos Vinicius Torres;1;1990-11-08;Claudia Torres;369147258012345;Alameda Campinas;852;;Jardim Paulista;3550308;;01404000;2;0;BEN009;1;05/05/2024;504487251;0;0;CCO009;1;;;
74185296325;;Camila Oliveira Dias;3;1993-02-28;Simone Oliveira Dias;741852963012345;Rua Oscar Freire;963;;Cerqueira César;3550308;;01426000;2;0;BEN010;1;15/06/2024;504487251;0;0;CCO010;1;;;
96385274158;;Lucas Martins Ferreira;1;1983-06-20;Elaine Martins Ferreira;963852741012345;Avenida Brigadeiro Faria Lima;147;Bloco B;Itaim Bibi;3550308;;04538133;1;0;BEN011;1;01/07/2024;504487251;0;0;CCO011;1;;;
85274196347;;Patricia Lima Castro;3;1972-10-03;Rosana Lima Castro;852741963012345;Rua Haddock Lobo;258;;Cerqueira César;3550308;;01414000;2;0;BEN012;1;10/08/2024;504487251;0;0;CCO012;1;;;
15935748620;;Ricardo Souza Alves;1;1968-01-14;Teresa Souza Alves;159357486012345;Alameda Jaú;369;;Jardim Paulista;3550308;;01420000;2;0;BEN013;1;01/09/2024;504487251;0;0;CCO013;1;;;
35715948624;;Amanda Costa Ribeiro;3;1998-12-05;Vanessa Costa Ribeiro;357159486012345;Rua Bela Cintra;741;;Consolação;3550308;;01415000;2;0;BEN014;1;15/10/2024;504487251;0;0;CCO014;1;;;
48635715928;;Gustavo Henrique Silva;1;1987-07-30;Renata Henrique Silva;486357159012345;Avenida Rebouças;852;;Pinheiros;3550308;;05402900;2;0;BEN015;1;01/11/2024;504487251;0;0;CCO015;1;;;
65412378952;;Mariana Ferreira Gomes;3;1980-04-17;Luciana Ferreira Gomes;654123789012345;Rua Dr. Melo Alves;963;;Jardim América;3550308;;01417000;2;0;BEN016;1;10/12/2024;504487251;0;0;CCO016;1;;;
78945612385;;Bruno Carvalho Santos;1;1975-03-22;Isabela Carvalho Santos;789456123012345;Alameda Santos;159;;Jardim Paulista;3550308;;01418000;1;0;BEN017;1;01/01/2025;504487251;0;0;CCO017;1;;;
12378945691;;Carolina Mendes Oliveira;3;1991-09-11;Andrea Mendes Oliveira;123789456012345;Rua Estados Unidos;357;;Jardim Paulista;3550308;;01427000;2;0;BEN018;1;15/02/2025;504487251;0;0;CCO018;1;;;
45612378963;;Felipe Andrade Costa;1;1984-08-08;Silvia Andrade Costa;456123789012345;Avenida Europa;753;;Jardim Europa;3550308;;01449000;2;0;BEN019;1;01/03/2025;504487251;0;0;CCO019;1;;;
98732165478;;Tatiane Rodrigues Almeida;3;1979-12-25;Cristiane Rodrigues Almeida;987321654012345;Rua Gomes de Carvalho;852;;Vila Olímpia;3550308;;04547000;2;0;BEN020;1;10/04/2025;504487251;0;0;CCO020;1;;;
32198765412;;Roberto Carlos Mendonça;1;1962-05-19;Lurdes Mendonça;321987654012345;Alameda Ribeirão Preto;147;;Bela Vista;3550308;;01331000;2;0;BEN021;1;20/05/2025;504487251;0;0;CCO021;1;;;
65432198745;;Simone Pereira Lima;3;1986-11-02;Maria Pereira Lima;654321987012345;Rua Dr. Veiga Filho;258;;Higienópolis;3550308;;01238000;2;0;BEN022;1;01/06/2025;504487251;0;0;CCO022;1;;;
98765412378;;André Luis Barbosa;1;1971-07-12;Regina Barbosa;987654123012345;Avenida Angélica;369;;Higienópolis;3550308;;01227000;2;0;BEN023;1;15/07/2025;504487251;0;0;CCO023;1;;;
14796325814;;Viviane Souza Castro;3;1994-02-14;Claudia Souza Castro;147963258012345;Rua Maria Antônia;741;;Consolação;3550308;;01222000;2;0;BEN024;1;01/08/2025;504487251;0;0;CCO024;1;;;
